entity,used_by_count,documents
API providera,10,13-integracje-i-synchronizacja/README.md
KPI,24,07-centrum-dowodzenia/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md
Meta Ads,8,08-kampanie-platne/README.md
SKU,9,10-produkty/README.md
analityk,10,18-wsparcie-marketingowe-decyzje-dzialania/README.md
atrybucja. Źródła: Google Ads,8,08-kampanie-platne/README.md
audit log,10,16-ustawienia-zespol-bezpieczenstwo/README.md
budżet,8,08-kampanie-platne/README.md
canonical layer,10,14-jakosc-danych-i-integralnosc/README.md
dataset,10,14-jakosc-danych-i-integralnosc/README.md
decyzja,24,07-centrum-dowodzenia/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md
definicje lejka,9,12-ruch-i-lejek/README.md
dowód,17,15-papa-asystent-i-laboratorium-ai/README.md
działanie,10,18-wsparcie-marketingowe-decyzje-dzialania/README.md
entitlements,10,17-subskrypcja-i-platnosci/README.md
faktura,10,17-subskrypcja-i-platnosci/README.md
grupa reklam,8,08-kampanie-platne/README.md
identyfikatory źródłowe,8,11-klienci/README.md
kampania,8,08-kampanie-platne/README.md
kanał,9,12-ruch-i-lejek/README.md
kanoniczne metryki,17,15-papa-asystent-i-laboratorium-ai/README.md
katalog procedur,6,19-centrum-pomocy/README.md
klient pseudonimizowany,8,11-klienci/README.md
kohorta,8,11-klienci/README.md
konfiguracja tenanta,10,16-ustawienia-zespol-bezpieczenstwo/README.md
konflikt,10,14-jakosc-danych-i-integralnosc/README.md
kontekst,17,15-papa-asystent-i-laboratorium-ai/README.md
koszt produktu,9,10-produkty/README.md
kreacja,8,08-kampanie-platne/README.md
krok lejka,9,12-ruch-i-lejek/README.md
limit,10,17-subskrypcja-i-platnosci/README.md
lineage,27,14-jakosc-danych-i-integralnosc/README.md | 15-papa-asystent-i-laboratorium-ai/README.md
mapowanie. Źródła: katalog sklepu,9,10-produkty/README.md
marketplace,9,10-produkty/README.md
membership,10,16-ustawienia-zespol-bezpieczenstwo/README.md
metering,10,17-subskrypcja-i-platnosci/README.md
metoda płatności. Źródła: system billingowy,10,17-subskrypcja-i-platnosci/README.md
metryki kampanii,14,07-centrum-dowodzenia/README.md
model atrybucji,8,08-kampanie-platne/README.md
normalized layer,10,14-jakosc-danych-i-integralnosc/README.md
obserwacja,27,15-papa-asystent-i-laboratorium-ai/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md
oferta,9,10-produkty/README.md
orchestrator synchronizacji,10,13-integracje-i-synchronizacja/README.md
plan,10,17-subskrypcja-i-platnosci/README.md
platforma handlowa,8,09-zamowienia/README.md
polityki AI,17,15-papa-asystent-i-laboratorium-ai/README.md
pomiar. Źródła: Papa Asystent,10,18-wsparcie-marketingowe-decyzje-dzialania/README.md
pozycja,8,09-zamowienia/README.md
połączenie,10,13-integracje-i-synchronizacja/README.md
problem jakości,10,14-jakosc-danych-i-integralnosc/README.md
procedura,6,19-centrum-pomocy/README.md
produkt kanoniczny,9,10-produkty/README.md
produkty,14,07-centrum-dowodzenia/README.md
prognoza. Źródła: kanoniczne fakty sprzedażowe,14,07-centrum-dowodzenia/README.md
