story_title,document,status,implementation_note,fixture_id,states,play_steps,visual_assertions,implementation_status,screen_id
10 Komponenty bazowe/Data i zakres czasu,04-komponenty-bazowe/10-12-data-i-zakres-czasu.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/001-10-12-data-i-zakres-czasu.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty bazowe/Dialogi i warstwy,04-komponenty-bazowe/10-10-dialogi-i-warstwy.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/002-10-10-dialogi-i-warstwy.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty bazowe/Ikony,04-komponenty-bazowe/10-11-ikony.md,implemented,Story 10.11 jest implementowana na runtime Icon i jest jedynym pelnym katalogiem ikon produktowych. Fundamenty 00.09 zachowuja zasady ikonografii; logotypy providerow sa poza zakresem Icon.,fixtures/storybook/003-10-11-ikony.json,decorative|informative|size-16|size-20|size-24|catalog,verify-decorative-hidden|verify-informative-label|verify-sizes|verify-current-color|verify-catalog,foundation-shell-light|foundation-shell-dark|1440-light|1440-dark|768-reflow|390-mobile|icon-catalog|no-local-visual-overrides,implemented-passing-static-and-play-contract,
10 Komponenty bazowe/Komunikaty i statusy,04-komponenty-bazowe/10-05-komunikaty-i-statusy.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/004-10-05-komunikaty-i-statusy.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty bazowe/Kontrolki wyboru,04-komponenty-bazowe/10-04-kontrolki-wyboru.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/005-10-04-kontrolki-wyboru.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty bazowe/Marka,04-komponenty-bazowe/10-01-marka.md,implemented,Story 10.01 jest implementowana na runtime PapaDataBrand i kanonicznym StoryPresentation. Bazowy komponent marki nie udostepnia dekoracyjnego glow; logotypy providerow sa poza zakresem 10.01.,fixtures/storybook/006-10-01-marka.json,lockup|mark|wordmark|decorative|small|medium|large,verify-variants|verify-sizes|verify-svg-geometry|verify-accessible-name|verify-decorative-hidden|verify-no-glow,foundation-shell-light|foundation-shell-dark|1440-light|1440-dark|768-reflow|390-mobile|brand-geometry|no-decorative-glow|no-local-visual-overrides,implemented-passing-static-and-play-contract,
"10 Komponenty bazowe/Menu, popovery i tooltipy",04-komponenty-bazowe/10-09-menu-popovery-i-tooltipy.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/007-10-09-menu-popovery-i-tooltipy.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty bazowe/Nawigacja lokalna,04-komponenty-bazowe/10-08-nawigacja-lokalna.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/008-10-08-nawigacja-lokalna.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty bazowe/Pola tekstowe i formularzowe,04-komponenty-bazowe/10-03-pola-tekstowe-i-formularzowe.md,review,"Pierwsza kompletna story 10.03 została otwarta na tym samym zaakceptowanym shellu Fundamentów. Obejmuje TextField, PasswordField, Textarea, FileInput i VerificationCodeInput oraz stany required, read-only, disabled i validation error. Walidacja statyczna przechodzi; pełny typecheck, build, play i odbiór wizualny muszą zostać wykonane w WSL przed zmianą statusu na accepted.",fixtures/storybook/009-10-03-pola-tekstowe-i-formularzowe.json,default|required|read-only|disabled|validation-error|password-visible|verification-code,verify-labels|verify-required|verify-readonly|verify-disabled|verify-validation-error|verify-password-toggle|verify-verification-code|verify-keyboard-only,foundation-shell-light|foundation-shell-dark|1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|field-width-contract|no-local-visual-overrides,implemented-review-partial-tests,
10 Komponenty bazowe/Przyciski i akcje,04-komponenty-bazowe/10-02-przyciski-i-akcje.md,implemented,"Story 10.02 uzywa kanonicznego StoryPresentation. Button odpowiada za komendy i submit, TextAction za lekka akcje button-like, LinkAction za nawigacje <a href>, a IconButton za komende ikonowa z jawna etykieta. Brak wariantu Button link i lokalnych nadpisan shellu.",fixtures/storybook/010-10-02-przyciski-i-akcje.json,ready|loading|disabled|focus-visible|danger|full-width,verify-keyboard-only|verify-focus-visible|verify-loading-disabled|verify-activity-line-width|verify-full-width-content-line|verify-no-layout-shift,foundation-shell-light|foundation-shell-dark|1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|activity-line-fit-content|no-local-visual-overrides,implemented-passing-static-and-play-contract,
