document_id,file,title,status,required_approvals,publication_channel,review_frequency
DOC-LEGAL-000,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/00-indeks-pakietu-prawnego.md,Indeks pakietu prawnego i organizacyjnego,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-001,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/01-regulamin-swiadczenia-uslug-saas.md,Regulamin świadczenia usług SaaS PapaData,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-002,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/02-warunki-subskrypcji-platnosci-odnowien.md,"Warunki subskrypcji, płatności i odnowień",template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-003,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/03-polityka-prywatnosci.md,Polityka prywatności PapaData,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-004,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/04-polityka-cookies.md,Polityka cookies i podobnych technologii,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-005,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/05-umowa-powierzenia-dpa.md,Umowa powierzenia przetwarzania danych — DPA,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-006,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/06-lista-podprocesorow.md,Lista podprocesorów i mechanizm zmian,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-007,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/07-sla.md,Umowa poziomu świadczenia usług — SLA,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-008,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/08-acceptable-use-policy.md,Polityka dopuszczalnego użycia — AUP,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-009,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/09-security-tom-addendum.md,Załącznik bezpieczeństwa i środki techniczne oraz organizacyjne — TOM,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-010,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/10-warunki-ai-i-akceptacja-czlowieka.md,Warunki korzystania z AI i akceptacji człowieka,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-011,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/11-regulamin-aplikacji-mobilnej.md,Regulamin aplikacji mobilnej PapaData,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-012,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/12-reklamacje-zwroty-odstapienie.md,"Reklamacje, zwroty i odstąpienie",template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-013,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/13-polityka-retencji-i-usuwania.md,"Polityka retencji, eksportu i usuwania danych",template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-014,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/14-procedura-incydentow-i-naruszen.md,Procedura incydentów bezpieczeństwa i naruszeń danych,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-015,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/15-procedura-realizacji-praw-dsar.md,Procedura realizacji praw osób — DSAR,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-016,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/16-rejestr-czynnosci-ropa-szablon.md,Rejestr czynności przetwarzania — ROPA,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-017,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/17-dpia-szablon.md,Ocena skutków dla ochrony danych — DPIA,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-018,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/18-ocena-dostawcy-i-ryzyka.md,"Ocena dostawcy, podprocesora i ryzyka",template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-019,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/19-bcp-dr.md,Plan ciągłości działania i odtwarzania — BCP/DR,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-020,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/20-polityka-dostepu-i-rol.md,"Polityka dostępu, ról i uprawnień",template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-021,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/21-polityka-faktur-i-ksef.md,"Polityka faktur, korekt i KSeF",template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-022,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/22-wersjonowanie-i-akceptacja-dokumentow.md,"Wersjonowanie, publikacja i akceptacja dokumentów",template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-023,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/23-order-form-szablon.md,Order Form — szablon zamówienia,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-024,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/24-opis-uslugi-mvp.md,Opis usługi i pełnego zakresu MVP,template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
DOC-LEGAL-025,docs/specyfikacja-docelowa/27-pakiet-prawny-i-organizacyjny/25-checklista-prawna-go-live.md,"Checklista prawna, organizacyjna i compliance przed go-live",template_requires_approval,Legal|Finance_or_Tax_if_applicable|IOD_or_DPO_if_applicable|Product_or_Control_Owner,per document index,annual_and_on_material_change
