surface_id,surface_document,surface_name,auth_state,auth_event,auth_reason,operation_id,branch_type,success_transition,error_transition,retry_transition,guard,action,security_control,owner,version
auth-01,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-01-wejscie-do-auth.md,Wejście do Auth,AccessEntryReady,OpenAuthEntry,entryRequested,access.resolve,business,auth-02|auth-03|auth-15,auth-27,auth-01,"Resolve public entry context: invite token, expired session or normal login",store accessEntryReason and render selected branch,"public csrf, host allow-list, neutral error",Artur Wiśniewski,1.0
auth-02,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,Logowanie,LoginFormReady,SubmitCredentials,credentialsRequired,auth.login,success,auth-16|auth-29,auth-28,,Email/password format valid and login rate budget available,create session challenge or active session,"csrf, credential rate limit, audit login attempt",Artur Wiśniewski,1.0
auth-03,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-03-wejscie-do-rejestracji.md,Wejście do rejestracji,RegistrationChoiceReady,ChooseRegistrationMethod,registrationMethodRequired,access.resolve,business,auth-04|auth-05,auth-27,auth-03,Registration feature enabled for tenant policy,persist registration method choice,"csrf, anti-enumeration, invite context preserved",Artur Wiśniewski,1.0
auth-04,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-04-rejestracja-adresem-e-mail.md,Rejestracja adresem e-mail,EmailRegistrationReady,SubmitEmailRegistration,emailRegistrationSelected,auth.register.email,success,auth-12,auth-28,,"Email, password and invite constraints valid",create pending registration draft,"csrf, password policy, anti-enumeration, audit",Artur Wiśniewski,1.0
auth-05,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-05-rejestracja-przez-oauth.md,Rejestracja przez OAuth,OAuthRegistrationStarted,StartOAuth,oauthRegistrationSelected,auth.oauth.start,callback,auth-06|auth-13,auth-27,auth-05,OAuth provider selected and redirect URI allowed,create OAuth state and wait for signed provider callback,"state nonce, PKCE, provider allow-list",Artur Wiśniewski,1.0
auth-06,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-06-weryfikacja-adresu-e-mail.md,Weryfikacja adresu e-mail,EmailVerificationPending,VerifyEmailToken,emailVerificationRequired,auth.email.verify,success,auth-13,auth-06|auth-27,,"Token exists, not expired, matches pending user",mark email verified and continue registration,"single-use token, replay protection, neutral invalid token copy",Artur Wiśniewski,1.0
auth-07,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-07-identyfikacja-firmy.md,Identyfikacja firmy,CompanyIdentificationReady,SubmitCompanyIdentity,companyContextRequired,company.lookup,business,auth-08|auth-10|auth-11,auth-27,auth-07,NIP/domain provided and lookup provider available,resolve candidate company or manual path,"rate limit registry lookup, no company enumeration",Artur Wiśniewski,1.0
auth-08,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-08-wyszukiwanie-firmy.md,Wyszukiwanie firmy,CompanyLookupRunning,SelectCompanyCandidate,companySearchRequested,company.lookup,success,auth-09,auth-10,,Registry returned candidate company data,attach registry candidate to onboarding draft,"provider timeout budget, provenance logged",Artur Wiśniewski,1.0
auth-09,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-09-sprawdzenie-i-edycja-danych-firmy.md,Sprawdzenie i edycja danych firmy,CompanyDataReviewReady,ConfirmCompanyData,companyCandidateSelected,company.draft.update,success,auth-12,auth-10,,User can confirm or correct registry data,persist company draft fields and provenance,"input validation, audit company draft change",Artur Wiśniewski,1.0
auth-10,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-10-reczne-wprowadzenie-firmy.md,Ręczne wprowadzenie firmy,ManualCompanyEntryReady,SubmitManualCompany,companyManualEntryRequired,company.draft.update,success,auth-12,auth-10,,Required legal fields supplied manually,persist manual company draft,"validation, no external provider dependency",Artur Wiśniewski,1.0
auth-11,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-11-firma-juz-zarejestrowana.md,Firma już zarejestrowana,CompanyAlreadyRegistered,ResolveExistingCompany,companyAlreadyExists,invitation.request,business,auth-15|auth-28,auth-27,auth-11,Company match exists and user has no membership,offer invite/access request path without leaking tenant data,"tenant privacy, neutral copy, support audit",Artur Wiśniewski,1.0
auth-12,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-12-zgody-rejestracyjne.md,Zgody rejestracyjne,RegistrationConsentsReady,AcceptConsents,registrationConsentsRequired,auth.consents.accept,success,auth-13,auth-12,,Required consents selected with version ids,store consent receipts and continue finalize,"consent versioning, audit, no prechecked optional consents",Artur Wiśniewski,1.0
auth-13,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-13-przetwarzanie-rejestracji.md,Przetwarzanie rejestracji,RegistrationProcessing,FinalizeRegistration,registrationSubmissionPending,auth.registration.finalize,job,auth-14,auth-27,auth-13,Email/company/consent preconditions complete,"create user, tenant/workspace bootstrap job or membership binding","transactional audit, idempotency key",Artur Wiśniewski,1.0
auth-14,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-14-rejestracja-zakonczona.md,Rejestracja zakończona,RegistrationCompleted,ContinueAfterRegistration,registrationCompleted,access.bootstrap,success,auth-21|auth-29,auth-27,,Registration finalize job completed,bootstrap first access context,"session rotation, onboarding marker",Artur Wiśniewski,1.0
auth-15,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-15-przeglad-zaproszenia.md,Przegląd zaproszenia,InvitationReviewReady,AcceptInvitation,invitationReceived,invitation.validate,success,auth-02|auth-04|auth-21,auth-28,,Invitation token valid and recipient matches,bind invite context to auth journey,"single-use invite token, recipient verification",Artur Wiśniewski,1.0
auth-16,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-16-weryfikacja-mfa.md,Weryfikacja MFA,MfaChallengeReady,VerifyMfaCode,mfaChallengeRequired,auth.mfa.verify,success,auth-21|auth-29,auth-16|auth-28,,Challenge id active and attempts remain,complete step-up or login session,"attempt limit, TOTP/WebAuthn validation, audit",Artur Wiśniewski,1.0
auth-17,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-17-konfiguracja-mfa.md,Konfiguracja MFA,MfaEnrollmentReady,EnrollMfaFactor,mfaEnrollmentRequired,auth.mfa.enroll,success,auth-16,auth-17,,Privileged or policy-required MFA enrollment active,create MFA secret/challenge and require confirmation through auth-16,"secret masking, recovery codes once, audit",Artur Wiśniewski,1.0
auth-18,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-18-prosba-o-odzyskanie-hasla.md,Prośba o odzyskanie hasła,PasswordRecoveryRequestReady,RequestPasswordRecovery,passwordRecoveryRequested,auth.password.recovery.request,success,auth-19,auth-18,,Email syntactically valid and rate budget available,send neutral recovery message if account eligible,"anti-enumeration, rate limit, mail audit",Artur Wiśniewski,1.0
auth-19,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-19-informacja-o-wyslaniu-resetu.md,Informacja o wysłaniu resetu,PasswordRecoverySent,OpenResetLink,passwordRecoveryEmailSent,auth.password.recovery.token.validate,callback,auth-20,auth-18,auth-19,Reset token arrives from email deep link and is valid,unlock password reset surface for token owner,"single-use token, expiry, neutral invalid copy",Artur Wiśniewski,1.0
auth-20,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-20-ustawienie-nowego-hasla.md,Ustawienie nowego hasła,NewPasswordReady,SubmitNewPassword,passwordResetTokenAccepted,auth.password.reset,success,auth-02,auth-20|auth-28,,Token valid and password policy satisfied,rotate credentials and revoke active sessions,"password policy, session revoke, audit",Artur Wiśniewski,1.0
auth-21,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-21-rozwiazanie-dostepu.md,Rozwiązanie dostępu,AccessResolutionReady,ResolveAccessContext,accessContextUnresolved,access.resolve,success,auth-22|auth-23|auth-29,auth-28,,Authenticated session exists and memberships are loaded,resolve tenant/workspace target,"tenant isolation, membership filter",Artur Wiśniewski,1.0
auth-22,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-22-wybor-organizacji-lub-tenanta.md,Wybór organizacji lub tenanta,TenantSelectionReady,SelectTenant,tenantSelectionRequired,access.tenant.select,success,auth-23|auth-29,auth-28,,User has more than one tenant membership,store selected tenant context,"membership check, no cross-tenant leakage",Artur Wiśniewski,1.0
auth-23,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-23-wybor-obszaru-roboczego.md,Wybór obszaru roboczego,WorkspaceSelectionReady,SelectWorkspace,workspaceSelectionRequired,access.workspace.select,success,auth-29,auth-28,,Selected workspace belongs to selected tenant and user membership,activate workspace context,"workspace membership, data-scope audit",Artur Wiśniewski,1.0
auth-24,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-24-ponowne-uwierzytelnienie.md,Ponowne uwierzytelnienie,ReauthenticationReady,SubmitReauthentication,freshAuthenticationRequired,auth.reauthenticate,success,auth-29,auth-28,,Sensitive operation requires fresh auth,issue step-up proof for original operation,"step-up TTL, audit, original operation binding",Artur Wiśniewski,1.0
auth-25,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-25-przetwarzanie-wylogowania.md,Przetwarzanie wylogowania,LogoutProcessing,StartLogout,logoutRequested,auth.logout,job,auth-26,auth-27,auth-25,Active session or logout request exists,revoke session and clear cookies,"csrf, session revoke, cookie clearing",Artur Wiśniewski,1.0
auth-26,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-26-ekran-po-wylogowaniu.md,Ekran po wylogowaniu,SignedOut,ReturnToLogin,sessionTerminated,ui.return_to_login,ui,auth-02,auth-27,,No active authenticated session remains,navigate to login without BFF mutation,no sensitive data retained in browser state,Artur Wiśniewski,1.0
auth-27,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-27-usluga-auth-niedostepna.md,Usługa Auth niedostępna,AuthServiceUnavailable,RetryAuthService,authServiceUnavailable,auth.status.read,query,auth-01,auth-27,auth-27,Service health can be checked without exposing user data,retry status check or show support contact,"neutral error, no secret in diagnostics",Artur Wiśniewski,1.0
auth-28,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-28-dostep-zablokowany.md,Dostęp zablokowany,AccessBlocked,RequestSupportOrRetry,accessPolicyBlocked,auth.access.blocked.read,query,auth-18|auth-27,auth-28,auth-28,Block reason available for current session or invite context,show safe recovery path,"no tenant data leakage, support audit",Artur Wiśniewski,1.0
