operation_id,actor,capability,consumer,request_schema,response_schema,use_case,contract_test,status
access.bootstrap,authenticated user or system callback,access.write,auth:auth-14 | auth:auth-29,AccessBootstrapRequest,AccessBootstrapResponse,bootstrap po zakończeniu Auth,contract.access-bootstrap.test,used
access.resolve,authenticated user or system callback,access.read,e2e:E2E_90_03_03_walidacja-dostepu | auth:auth-01 | auth:auth-03 | auth:auth-21,AccessResolveRequest,AccessResolveResponse,rozwiązanie kontekstu tenant/workspace,contract.access-resolve.test,used
access.tenant.select,authenticated user or system callback,access.write,auth:auth-22,AccessTenantSelectRequest,AccessTenantSelectResponse,wybór organizacji lub tenanta,contract.access-tenant-select.test,used
access.tenants.list,authenticated user or system callback,access.read,contract-test:access-tenants-list,AccessTenantsListRequest,AccessTenantsListResponse,lista dostępnych tenantów,contract.access-tenants-list.test,support-contract
access.workspace.select,authenticated user or system callback,workspace.write,e2e:E2E_90_01_04_wybor-workspace | e2e:E2E_90_03_04_zmiana-workspace | auth:auth-23,AccessWorkspaceSelectRequest,AccessWorkspaceSelectResponse,wybór workspace,contract.access-workspace-select.test,used
access.workspaces.list,authenticated user or system callback,access.read,contract-test:access-workspaces-list,AccessWorkspacesListRequest,AccessWorkspacesListResponse,lista dostępnych workspace,contract.access-workspaces-list.test,support-contract
actions.read,authenticated user or system callback,actions.read,contract-test:actions-read,ActionsReadRequest,ActionsReadResponse,bazowy odczyt domeny actions,contract.actions-read.test,support-contract
actions.write,authenticated user or system callback,actions.write,contract-test:actions-write,ActionsWriteRequest,ActionsWriteResponse,bazowa operacja zapisu domeny actions,contract.actions-write.test,support-contract
auth.access.blocked.read,authenticated user or system callback,auth.read,contract-test:auth-access-blocked-read,AuthAccessBlockedReadRequest,AuthAccessBlockedReadResponse,odczyt blokady dostępu,contract.auth-access-blocked-read.test,support-contract
auth.access.resolve,authenticated user or system callback,auth.write,contract-test:auth-access-resolve,AuthAccessResolveRequest,AuthAccessResolveResponse,alias rozwiązywania dostępu w Auth,contract.auth-access-resolve.test,support-contract
auth.account.link,authenticated user or system callback,auth.write,contract-test:auth-account-link,AuthAccountLinkRequest,AuthAccountLinkResponse,powiązanie istniejącego konta z zaproszeniem,contract.auth-account-link.test,support-contract
auth.email.resend,authenticated user or system callback,auth.write,contract-test:auth-email-resend,AuthEmailResendRequest,AuthEmailResendResponse,ponowne wysłanie e-maila,contract.auth-email-resend.test,support-contract
auth.email.verify,authenticated user or system callback,auth.write,auth:auth-06,AuthEmailVerifyRequest,AuthEmailVerifyResponse,weryfikacja e-mail,contract.auth-email-verify.test,used
auth.login,authenticated user or system callback,auth.write,auth:auth-02,AuthLoginRequest,AuthLoginResponse,logowanie użytkownika,contract.auth-login.test,used
auth.logout,authenticated user or system callback,auth.write,auth:auth-25,AuthLogoutRequest,AuthLogoutResponse,wylogowanie,contract.auth-logout.test,used
auth.mfa.confirm,authenticated user or system callback,auth.write,contract-test:auth-mfa-confirm,AuthMfaConfirmRequest,AuthMfaConfirmResponse,potwierdzenie konfiguracji MFA,contract.auth-mfa-confirm.test,support-contract
auth.mfa.enroll,authenticated user or system callback,auth.write,auth:auth-17,AuthMfaEnrollRequest,AuthMfaEnrollResponse,rozpoczęcie konfiguracji MFA,contract.auth-mfa-enroll.test,used
auth.mfa.verify,authenticated user or system callback,auth.write,e2e:E2E_90_01_03_weryfikacja-mfa | auth:auth-16,AuthMfaVerifyRequest,AuthMfaVerifyResponse,weryfikacja MFA,contract.auth-mfa-verify.test,used
auth.oauth.callback,authenticated user or system callback,auth.write,contract-test:auth-oauth-callback,AuthOauthCallbackRequest,AuthOauthCallbackResponse,callback OAuth,contract.auth-oauth-callback.test,support-contract
auth.oauth.start,authenticated user or system callback,auth.write,auth:auth-05,AuthOauthStartRequest,AuthOauthStartResponse,rozpoczęcie OAuth,contract.auth-oauth-start.test,used
auth.password.recovery.request,authenticated user or system callback,auth.write,auth:auth-18,AuthPasswordRecoveryRequestRequest,AuthPasswordRecoveryRequestResponse,prośba o odzyskanie hasła,contract.auth-password-recovery-request.test,used
auth.password.reset,authenticated user or system callback,auth.write,auth:auth-20,AuthPasswordResetRequest,AuthPasswordResetResponse,ustawienie nowego hasła,contract.auth-password-reset.test,used
auth.reauthenticate,authenticated user or system callback,auth.write,e2e:E2E_90_06_04_ponowne-uwierzytelnienie | e2e:E2E_90_16_07_mfa-lub-reauth | auth:auth-24,AuthReauthenticateRequest,AuthReauthenticateResponse,ponowne uwierzytelnienie,contract.auth-reauthenticate.test,used
auth.register.email,authenticated user or system callback,auth.write,e2e:E2E_90_01_02_utworzenie-lub-powiazanie-konta | auth:auth-04,AuthRegisterEmailRequest,AuthRegisterEmailResponse,rejestracja konta przez e-mail,contract.auth-register-email.test,used
auth.session.read,authenticated user or system callback,auth.read,e2e:E2E_90_03_02_otwarcie-przelacznika-workspace | e2e:E2E_90_03_06_komunikat-wplywu-na-dane,AuthSessionReadRequest,AuthSessionReadResponse,odczyt kontekstu sesji,contract.auth-session-read.test,used
auth.status.read,authenticated user or system callback,auth.read,auth:auth-27,AuthStatusReadRequest,AuthStatusReadResponse,stan usługi auth,contract.auth-status-read.test,used
billing.adjustments.read,authenticated user or system callback,billing.read,screen:70.07,BillingAdjustmentsReadRequest,BillingAdjustmentsReadResponse,Odczyt view modelu powierzchni Korekty; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.billing-adjustments-read.test,used
billing.change-cancel.read,authenticated user or system callback,billing.read,screen:70.08,BillingChangeCancelReadRequest,BillingChangeCancelReadResponse,Odczyt view modelu powierzchni Zmiana i anulowanie; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.billing-change-cancel-read.test,used
billing.entitlements.read,authenticated user or system callback,billing.read,e2e:E2E_90_17_07_entitlements | e2e:E2E_90_18_03_bezpieczne-ograniczenie,BillingEntitlementsReadRequest,BillingEntitlementsReadResponse,uprawnienia abonamentu,contract.billing-entitlements-read.test,used
billing.invoices.read,authenticated user or system callback,billing.read,screen:70.04,BillingInvoicesReadRequest,BillingInvoicesReadResponse,Odczyt view modelu powierzchni Faktury; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.billing-invoices-read.test,used
