flow_id,flow_name,step_no,step_name,surface_doc,route,ui_action,operation_id,operation_kind,event_name,fixture_id,entry_condition,success_state,recoverable_error,resume_rule,postcondition,assertion,test_id
90.01,Zaproszenie do pierwszego KPI,1,Przegląd zaproszenia,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-15-przeglad-zaproszenia.md,/auth/invitation,Na powierzchni „Przegląd zaproszenia” użytkownik uruchamia `invitation.validate`. Formularz blokuje submit do czasu walidacji; mutacja przekazuje idempotency key i po powodzeniu blokuje ponowne kliknięcie.,invitation.validate,command,e2e_90_01_01_invitation_validate,fixtures/e2e/90-01/01-przegl-d-zaproszenia.json,Warunek domenowy zaproszenie do pierwszego kpi przegl d zaproszenia: Aktor posiada `auth.read`; fixture ładuje request `fixtures/api/invitation.validate.request.json` i stan domeny wymagany dla kroku 1 procesu 90.01. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Komenda zwraca applied/queued, audit event zawiera `invitation.validate`, a odczyt potwierdzający pokazuje zmianę wymaganą przed krokiem „Utworzenie lub powiązanie konta”.","Odzyskanie kroku zaproszenie do pierwszego kpi przegl d zaproszenia: `INVITATION_OR_ACCESS_FAILED` dla kroku 1: zachowaj niesekretne dane formularza i route `/auth/invitation`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia zaproszenie do pierwszego kpi przegl d zaproszenia: Checkpoint `E2E_90_01_01_przeglad-zaproszenia` zapisuje zakończony step_no=1, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `auth.read` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Przegląd zaproszenia” obowiązuje domenowy warunek: operacja `invitation.validate` jest widoczna w audycie, fixture response `fixtures/api/invitation.validate.response.json` przechodzi walidację schema, a następna powierzchnia „Utworzenie lub powiązanie konta” jest osiągalna wyłącznie zgodnie z procesem 90.01.","Asercja domenowa zaproszenie do pierwszego kpi przegl d zaproszenia: Sprawdź operation kind `command`, capability `auth.read`, schema request/response, expected event `e2e_90_01_01_invitation_validate`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `INVITATION_OR_ACCESS_FAILED` w kontrolowanym scenariuszu błędu.",E2E_90_01_01_przeglad-zaproszenia
90.01,Zaproszenie do pierwszego KPI,2,Utworzenie lub powiązanie konta,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-04-rejestracja-adresem-e-mail.md,/auth/register,Na powierzchni „Utworzenie lub powiązanie konta” użytkownik uruchamia `auth.register.email`. Formularz blokuje submit do czasu walidacji; mutacja przekazuje idempotency key i po powodzeniu blokuje ponowne kliknięcie.,auth.register.email,command,e2e_90_01_02_auth_register_email,fixtures/e2e/90-01/02-utworzenie-lub-powi-zanie-konta.json,Warunek domenowy zaproszenie do pierwszego kpi utworzenie lub powi zanie konta: Aktor posiada `auth.write`; fixture ładuje request `fixtures/api/auth.register.email.request.json` i stan domeny wymagany dla kroku 2 procesu 90.01. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Komenda zwraca applied/queued, audit event zawiera `auth.register.email`, a odczyt potwierdzający pokazuje zmianę wymaganą przed krokiem „Weryfikacja MFA”.","Odzyskanie kroku zaproszenie do pierwszego kpi utworzenie lub powi zanie konta: `INVITATION_OR_ACCESS_FAILED` dla kroku 2: zachowaj niesekretne dane formularza i route `/auth/register`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia zaproszenie do pierwszego kpi utworzenie lub powi zanie konta: Checkpoint `E2E_90_01_02_utworzenie-lub-powiazanie-konta` zapisuje zakończony step_no=2, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `auth.write` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Utworzenie lub powiązanie konta” obowiązuje domenowy warunek: operacja `auth.register.email` jest widoczna w audycie, fixture response `fixtures/api/auth.register.email.response.json` przechodzi walidację schema, a następna powierzchnia „Weryfikacja MFA” jest osiągalna wyłącznie zgodnie z procesem 90.01.","Asercja domenowa zaproszenie do pierwszego kpi utworzenie lub powi zanie konta: Sprawdź operation kind `command`, capability `auth.write`, schema request/response, expected event `e2e_90_01_02_auth_register_email`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `INVITATION_OR_ACCESS_FAILED` w kontrolowanym scenariuszu błędu.",E2E_90_01_02_utworzenie-lub-powiazanie-konta
90.01,Zaproszenie do pierwszego KPI,3,Weryfikacja MFA,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-16-weryfikacja-mfa.md,/auth/mfa,Na powierzchni „Weryfikacja MFA” użytkownik uruchamia `auth.mfa.verify`. Formularz blokuje submit do czasu walidacji; mutacja przekazuje idempotency key i po powodzeniu blokuje ponowne kliknięcie.,auth.mfa.verify,command,e2e_90_01_03_auth_mfa_verify,fixtures/e2e/90-01/03-weryfikacja-mfa.json,Warunek domenowy zaproszenie do pierwszego kpi weryfikacja mfa: Aktor posiada `auth.write`; fixture ładuje request `fixtures/api/auth.mfa.verify.request.json` i stan domeny wymagany dla kroku 3 procesu 90.01. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Komenda zwraca applied/queued, audit event zawiera `auth.mfa.verify`, a odczyt potwierdzający pokazuje zmianę wymaganą przed krokiem „Wybór workspace”.","Odzyskanie kroku zaproszenie do pierwszego kpi weryfikacja mfa: `INVITATION_OR_ACCESS_FAILED` dla kroku 3: zachowaj niesekretne dane formularza i route `/auth/mfa`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia zaproszenie do pierwszego kpi weryfikacja mfa: Checkpoint `E2E_90_01_03_weryfikacja-mfa` zapisuje zakończony step_no=3, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `auth.write` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Weryfikacja MFA” obowiązuje domenowy warunek: operacja `auth.mfa.verify` jest widoczna w audycie, fixture response `fixtures/api/auth.mfa.verify.response.json` przechodzi walidację schema, a następna powierzchnia „Wybór workspace” jest osiągalna wyłącznie zgodnie z procesem 90.01.","Asercja domenowa zaproszenie do pierwszego kpi weryfikacja mfa: Sprawdź operation kind `command`, capability `auth.write`, schema request/response, expected event `e2e_90_01_03_auth_mfa_verify`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `INVITATION_OR_ACCESS_FAILED` w kontrolowanym scenariuszu błędu.",E2E_90_01_03_weryfikacja-mfa
90.01,Zaproszenie do pierwszego KPI,4,Wybór workspace,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-23-wybor-obszaru-roboczego.md,/auth/workspace,Na powierzchni „Wybór workspace” użytkownik uruchamia `access.workspace.select`. Formularz blokuje submit do czasu walidacji; mutacja przekazuje idempotency key i po powodzeniu blokuje ponowne kliknięcie.,access.workspace.select,command,e2e_90_01_04_access_workspace_select,fixtures/e2e/90-01/04-wyb-r-workspace.json,Warunek domenowy zaproszenie do pierwszego kpi wyb r workspace: Aktor posiada `workspace.write`; fixture ładuje request `fixtures/api/access.workspace.select.request.json` i stan domeny wymagany dla kroku 4 procesu 90.01. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Komenda zwraca applied/queued, audit event zawiera `access.workspace.select`, a odczyt potwierdzający pokazuje zmianę wymaganą przed krokiem „Onboarding”.","Odzyskanie kroku zaproszenie do pierwszego kpi wyb r workspace: `INVITATION_OR_ACCESS_FAILED` dla kroku 4: zachowaj niesekretne dane formularza i route `/auth/workspace`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia zaproszenie do pierwszego kpi wyb r workspace: Checkpoint `E2E_90_01_04_wybor-workspace` zapisuje zakończony step_no=4, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `workspace.write` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Wybór workspace” obowiązuje domenowy warunek: operacja `access.workspace.select` jest widoczna w audycie, fixture response `fixtures/api/access.workspace.select.response.json` przechodzi walidację schema, a następna powierzchnia „Onboarding” jest osiągalna wyłącznie zgodnie z procesem 90.01.","Asercja domenowa zaproszenie do pierwszego kpi wyb r workspace: Sprawdź operation kind `command`, capability `workspace.write`, schema request/response, expected event `e2e_90_01_04_access_workspace_select`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `INVITATION_OR_ACCESS_FAILED` w kontrolowanym scenariuszu błędu.",E2E_90_01_04_wybor-workspace
90.01,Zaproszenie do pierwszego KPI,5,Onboarding,03-dostep-rejestracja-onboarding/katalogi/25-10-onboarding.md,/app/onboarding,Na powierzchni „Onboarding” użytkownik uruchamia `onboarding.profile.update`. Formularz blokuje submit do czasu walidacji; mutacja przekazuje idempotency key i po powodzeniu blokuje ponowne kliknięcie.,onboarding.profile.update,command,e2e_90_01_05_onboarding_profile_update,fixtures/e2e/90-01/05-onboarding.json,Warunek domenowy zaproszenie do pierwszego kpi onboarding: Aktor posiada `workspace.write`; fixture ładuje request `fixtures/api/onboarding.profile.update.request.json` i stan domeny wymagany dla kroku 5 procesu 90.01. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Komenda zwraca applied/queued, audit event zawiera `onboarding.profile.update`, a odczyt potwierdzający pokazuje zmianę wymaganą przed krokiem „Połączenie integracji”.","Odzyskanie kroku zaproszenie do pierwszego kpi onboarding: `INVITATION_OR_ACCESS_FAILED` dla kroku 5: zachowaj niesekretne dane formularza i route `/app/onboarding`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia zaproszenie do pierwszego kpi onboarding: Checkpoint `E2E_90_01_05_onboarding` zapisuje zakończony step_no=5, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `workspace.write` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Onboarding” obowiązuje domenowy warunek: operacja `onboarding.profile.update` jest widoczna w audycie, fixture response `fixtures/api/onboarding.profile.update.response.json` przechodzi walidację schema, a następna powierzchnia „Połączenie integracji” jest osiągalna wyłącznie zgodnie z procesem 90.01.","Asercja domenowa zaproszenie do pierwszego kpi onboarding: Sprawdź operation kind `command`, capability `workspace.write`, schema request/response, expected event `e2e_90_01_05_onboarding_profile_update`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `INVITATION_OR_ACCESS_FAILED` w kontrolowanym scenariuszu błędu.",E2E_90_01_05_onboarding
90.01,Zaproszenie do pierwszego KPI,6,Połączenie integracji,13-integracje-i-synchronizacja/40-02-kreator-polaczenia.md,/app/integrations/kreator-polaczenia,Na powierzchni „Połączenie integracji” użytkownik uruchamia `integrations.connection.create`. Formularz blokuje submit do czasu walidacji; mutacja przekazuje idempotency key i po powodzeniu blokuje ponowne kliknięcie.,integrations.connection.create,command,e2e_90_01_06_integrations_connection_create,fixtures/e2e/90-01/06-po-czenie-integracji.json,Warunek domenowy zaproszenie do pierwszego kpi po czenie integracji: Aktor posiada `integrations.write`; fixture ładuje request `fixtures/api/integrations.connection.create.request.json` i stan domeny wymagany dla kroku 6 procesu 90.01. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Komenda zwraca applied/queued, audit event zawiera `integrations.connection.create`, a odczyt potwierdzający pokazuje zmianę wymaganą przed krokiem „Pierwsza synchronizacja”.","Odzyskanie kroku zaproszenie do pierwszego kpi po czenie integracji: `INVITATION_OR_ACCESS_FAILED` dla kroku 6: zachowaj niesekretne dane formularza i route `/app/integrations/kreator-polaczenia`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia zaproszenie do pierwszego kpi po czenie integracji: Checkpoint `E2E_90_01_06_polaczenie-integracji` zapisuje zakończony step_no=6, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `integrations.write` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Połączenie integracji” obowiązuje domenowy warunek: operacja `integrations.connection.create` jest widoczna w audycie, fixture response `fixtures/api/integrations.connection.create.response.json` przechodzi walidację schema, a następna powierzchnia „Pierwsza synchronizacja” jest osiągalna wyłącznie zgodnie z procesem 90.01.","Asercja domenowa zaproszenie do pierwszego kpi po czenie integracji: Sprawdź operation kind `command`, capability `integrations.write`, schema request/response, expected event `e2e_90_01_06_integrations_connection_create`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `INVITATION_OR_ACCESS_FAILED` w kontrolowanym scenariuszu błędu.",E2E_90_01_06_polaczenie-integracji
90.01,Zaproszenie do pierwszego KPI,7,Pierwsza synchronizacja,13-integracje-i-synchronizacja/40-05-przebieg-synchronizacji.md,/app/integrations/przebieg-synchronizacji,Na powierzchni „Pierwsza synchronizacja” użytkownik uruchamia `integrations.sync.start`. Formularz blokuje submit do czasu walidacji; mutacja przekazuje idempotency key i po powodzeniu blokuje ponowne kliknięcie.,integrations.sync.start,command,e2e_90_01_07_integrations_sync_start,fixtures/e2e/90-01/07-pierwsza-synchronizacja.json,Warunek domenowy zaproszenie do pierwszego kpi pierwsza synchronizacja: Aktor posiada `integrations.write`; fixture ładuje request `fixtures/api/integrations.sync.start.request.json` i stan domeny wymagany dla kroku 7 procesu 90.01. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Komenda zwraca applied/queued, audit event zawiera `integrations.sync.start`, a odczyt potwierdzający pokazuje zmianę wymaganą przed krokiem „Pierwszy KPI”.","Odzyskanie kroku zaproszenie do pierwszego kpi pierwsza synchronizacja: `INVITATION_OR_ACCESS_FAILED` dla kroku 7: zachowaj niesekretne dane formularza i route `/app/integrations/przebieg-synchronizacji`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia zaproszenie do pierwszego kpi pierwsza synchronizacja: Checkpoint `E2E_90_01_07_pierwsza-synchronizacja` zapisuje zakończony step_no=7, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `integrations.write` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Pierwsza synchronizacja” obowiązuje domenowy warunek: operacja `integrations.sync.start` jest widoczna w audycie, fixture response `fixtures/api/integrations.sync.start.response.json` przechodzi walidację schema, a następna powierzchnia „Pierwszy KPI” jest osiągalna wyłącznie zgodnie z procesem 90.01.","Asercja domenowa zaproszenie do pierwszego kpi pierwsza synchronizacja: Sprawdź operation kind `command`, capability `integrations.write`, schema request/response, expected event `e2e_90_01_07_integrations_sync_start`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `INVITATION_OR_ACCESS_FAILED` w kontrolowanym scenariuszu błędu.",E2E_90_01_07_pierwsza-synchronizacja
90.01,Zaproszenie do pierwszego KPI,8,Pierwszy KPI,07-centrum-dowodzenia/30-03-kpi.md,/app/command-center/kpi,"Na powierzchni „Pierwszy KPI” użytkownik uruchamia `command-center.kpi.read`. Odczyt zachowuje aktualny route, filtry i focus; nie emituje zdarzenia mutacji.",command-center.kpi.read,query,e2e_90_01_08_command_center_kpi_read,fixtures/e2e/90-01/08-pierwszy-kpi.json,Warunek domenowy zaproszenie do pierwszego kpi pierwszy kpi: Aktor posiada `analytics.read`; fixture ładuje request `fixtures/api/command-center.kpi.read.request.json` i stan domeny wymagany dla kroku 8 procesu 90.01. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Odpowiedź `CommandCenterKpiReadResponse` ma operationId `command-center.kpi.read`, brak ApiProblem krytycznego, a UI renderuje dane kroku „Pierwszy KPI” bez zamiany null na zero.","Odzyskanie kroku zaproszenie do pierwszego kpi pierwszy kpi: `INVITATION_OR_ACCESS_FAILED` dla kroku 8: zachowaj niesekretne dane formularza i route `/app/command-center/kpi`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia zaproszenie do pierwszego kpi pierwszy kpi: Checkpoint `E2E_90_01_08_pierwszy-kpi` zapisuje zakończony step_no=8, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `analytics.read` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Pierwszy KPI” obowiązuje domenowy warunek: operacja `command-center.kpi.read` jest widoczna w audycie, fixture response `fixtures/api/command-center.kpi.read.response.json` przechodzi walidację schema, a następna powierzchnia „Centrum Dowodzenia” jest osiągalna wyłącznie zgodnie z procesem 90.01.","Asercja domenowa zaproszenie do pierwszego kpi pierwszy kpi: Sprawdź operation kind `query`, capability `analytics.read`, schema request/response, expected event `e2e_90_01_08_command_center_kpi_read`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `INVITATION_OR_ACCESS_FAILED` w kontrolowanym scenariuszu błędu.",E2E_90_01_08_pierwszy-kpi
90.01,Zaproszenie do pierwszego KPI,9,Centrum Dowodzenia,07-centrum-dowodzenia/30-01-widok-glowny.md,/app/command-center/widok-glowny,"Na powierzchni „Centrum Dowodzenia” użytkownik uruchamia `command-center.overview.read`. Odczyt zachowuje aktualny route, filtry i focus; nie emituje zdarzenia mutacji.",command-center.overview.read,query,e2e_90_01_09_command_center_overview_read,fixtures/e2e/90-01/09-centrum-dowodzenia.json,Warunek domenowy zaproszenie do pierwszego kpi centrum dowodzenia: Aktor posiada `analytics.read`; fixture ładuje request `fixtures/api/command-center.overview.read.request.json` i stan domeny wymagany dla kroku 9 procesu 90.01. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Odpowiedź `CommandCenterOverviewReadResponse` ma operationId `command-center.overview.read`, brak ApiProblem krytycznego, a UI renderuje dane kroku „Centrum Dowodzenia” bez zamiany null na zero.","Odzyskanie kroku zaproszenie do pierwszego kpi centrum dowodzenia: `INVITATION_OR_ACCESS_FAILED` dla kroku 9: zachowaj niesekretne dane formularza i route `/app/command-center/widok-glowny`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia zaproszenie do pierwszego kpi centrum dowodzenia: Checkpoint `E2E_90_01_09_centrum-dowodzenia` zapisuje zakończony step_no=9, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `analytics.read` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Centrum Dowodzenia” obowiązuje domenowy warunek: operacja `command-center.overview.read` jest widoczna w audycie, fixture response `fixtures/api/command-center.overview.read.response.json` przechodzi walidację schema, a następna powierzchnia „stan końcowy procesu” jest osiągalna wyłącznie zgodnie z procesem 90.01.","Asercja domenowa zaproszenie do pierwszego kpi centrum dowodzenia: Sprawdź operation kind `query`, capability `analytics.read`, schema request/response, expected event `e2e_90_01_09_command_center_overview_read`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `INVITATION_OR_ACCESS_FAILED` w kontrolowanym scenariuszu błędu.",E2E_90_01_09_centrum-dowodzenia
90.02,Onboarding do pierwszej wartości,1,Profil działalności,03-dostep-rejestracja-onboarding/katalogi/25-10-onboarding.md,/app/onboarding/profile,Na powierzchni „Profil działalności” użytkownik uruchamia `onboarding.profile.update`. Formularz blokuje submit do czasu walidacji; mutacja przekazuje idempotency key i po powodzeniu blokuje ponowne kliknięcie.,onboarding.profile.update,command,e2e_90_02_01_onboarding_profile_update,fixtures/e2e/90-02/01-profil-dzia-alno-ci.json,Warunek domenowy onboarding do pierwszej warto ci profil dzia alno ci: Aktor posiada `workspace.write`; fixture ładuje request `fixtures/api/onboarding.profile.update.request.json` i stan domeny wymagany dla kroku 1 procesu 90.02. Poprzedni krok zakończył się potwierdzonym postcondition albo jest to punkt startowy.,"Komenda zwraca applied/queued, audit event zawiera `onboarding.profile.update`, a odczyt potwierdzający pokazuje zmianę wymaganą przed krokiem „Identyfikacja firmy”.","Odzyskanie kroku onboarding do pierwszej warto ci profil dzia alno ci: `ONBOARDING_FIRST_VALUE_BLOCKED` dla kroku 1: zachowaj niesekretne dane formularza i route `/app/onboarding/profile`, pokaż correlationId oraz akcję retry tylko dla błędu oznaczonego `recoverable=true`; błąd capability kończy proces bez retry.","Reguła wznowienia onboarding do pierwszej warto ci profil dzia alno ci: Checkpoint `E2E_90_02_01_profil-dzialalnosci` zapisuje zakończony step_no=1, operationId i identyfikatory zasobów z response fixture. Po wznowieniu system ponownie sprawdza `workspace.write` i odczytuje aktualny stan; komendy nie są automatycznie odtwarzane bez tego samego idempotency key.","Po kroku „Profil działalności” obowiązuje domenowy warunek: operacja `onboarding.profile.update` jest widoczna w audycie, fixture response `fixtures/api/onboarding.profile.update.response.json` przechodzi walidację schema, a następna powierzchnia „Identyfikacja firmy” jest osiągalna wyłącznie zgodnie z procesem 90.02.","Asercja domenowa onboarding do pierwszej warto ci profil dzia alno ci: Sprawdź operation kind `command`, capability `workspace.write`, schema request/response, expected event `e2e_90_02_01_onboarding_profile_update`, brak podwójnego efektu, prawidłowy focus po zmianie powierzchni oraz kod `ONBOARDING_FIRST_VALUE_BLOCKED` w kontrolowanym scenariuszu błędu.",E2E_90_02_01_profil-dzialalnosci
