id,metricKey,displayName,unit,formula,aggregationPolicy,requiredFacts,implementationStatus,mvpScope,implementationTarget
KPI-01,gross_order_value,Sprzedaż brutto,money,SUM(accepted_order.gross_amount),sum,canonical_orders,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-02,revenue_after_refunds,Przychód po zwrotach,money,gross_order_value - return_value,derived,canonical_orders|canonical_refunds,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-03,orders,Liczba zamówień,count,COUNT_DISTINCT(canonical_order_id WHERE accepted_status),count_distinct,canonical_orders,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-04,units_sold,Sprzedane sztuki,units,SUM(canonical_order_lines.quantity),sum,canonical_order_lines,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-05,returned_units,Zwrócone sztuki,units,SUM(canonical_returns.quantity),sum,canonical_customer_returns,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-06,return_value,Wartość zwrotów,money,SUM(posted_refund.amount),sum,canonical_refunds,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-07,return_rate_units,Wskaźnik zwrotów sztuk,ratio,returned_units / units_sold,ratio,canonical_customer_returns|canonical_order_lines,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-08,return_rate_orders,Wskaźnik zwrotów zamówień,ratio,orders_with_refund / orders,ratio,canonical_orders|canonical_refunds,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-09,aov,Średnia wartość zamówienia,money,gross_order_value / orders,ratio,canonical_orders,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-10,available_stock,Dostępny zapas,units,SUM(primary_inventory.quantity_available),latest_snapshot_sum,canonical_inventory_snapshots,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-11,stock_value,Wartość zapasu,money,SUM(quantity_available * confirmed_unit_cost),latest_snapshot_sum,canonical_inventory_snapshots|product_costs,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-12,days_of_inventory,Dni zapasu,days,available_stock / average_daily_units_sold,ratio,canonical_inventory_snapshots|canonical_order_lines,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-13,inventory_turnover,Rotacja zapasu,ratio,units_sold / average_inventory,ratio,canonical_inventory_snapshots|canonical_order_lines,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-14,sell_through_rate,Sell-through,ratio,units_sold / (units_sold + available_stock),ratio,canonical_inventory_snapshots|canonical_order_lines,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-15,stockout_risk,Ryzyko braku zapasu,risk,"RISK(days_of_inventory,lead_time,velocity)",policy,canonical_inventory_snapshots|canonical_order_lines|supply_policy,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-16,product_revenue,Przychód produktu,money,SUM(order_line.gross_amount BY canonical_product_id),sum_by_product,canonical_order_lines|product_mapping,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-17,product_units,Sztuki produktu,units,SUM(order_line.quantity BY canonical_product_id),sum_by_product,canonical_order_lines|product_mapping,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-18,product_margin,Marża produktu,money,product_revenue - product_cogs,derived,canonical_order_lines|product_costs,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-19,product_contribution,Kontrybucja produktu,money,product_margin - allocated_ad_spend - variable_fees,derived,canonical_order_lines|product_costs|canonical_ad_spend|fees,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-20,ad_spend,Wydatki reklamowe,money,SUM(canonical_ad_spend.cost_amount),sum,canonical_ad_spend,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-21,cpc,Koszt kliknięcia,money,ad_spend / clicks,ratio,canonical_ad_spend,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-22,cpm,Koszt tysiąca wyświetleń,money,ad_spend / impressions * 1000,ratio,canonical_ad_spend,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-23,ctr,CTR,ratio,clicks / impressions,ratio,canonical_ad_spend,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-24,platform_attributed_conversions,Konwersje platformowe,count,SUM(provider_attributed_conversions),sum,canonical_attributed_conversions,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-25,platform_attributed_revenue,Przychód przypisany przez platformę,money,SUM(provider_attributed_value),sum,canonical_attributed_conversions,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-26,roas,ROAS,ratio,platform_attributed_revenue / ad_spend,ratio,canonical_attributed_conversions|canonical_ad_spend,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-27,cost_per_order,Koszt na zamówienie,money,ad_spend / orders,ratio,canonical_ad_spend|canonical_orders,migration_ready,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-28,cancelled_orders,Anulowane zamówienia,count,COUNT_DISTINCT(order_id WHERE cancelled_status),count_distinct,canonical_orders,planned_p0,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-29,cancellation_rate,Wskaźnik anulowań,ratio,cancelled_orders / all_created_orders,ratio,canonical_orders,planned_p0,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-30,discount_value,Wartość rabatów,money,SUM(order_line.list_price - order_line.sale_price),sum,canonical_order_lines,planned_p0,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-31,shipping_revenue,Przychód z dostawy,money,SUM(accepted_order.shipping_amount),sum,canonical_orders,planned_p0,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-32,tax_value,Wartość podatku,money,SUM(accepted_order.tax_amount) - SUM(refund.tax_amount),sum,canonical_orders|canonical_refunds,planned_p0,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-33,net_sales,Sprzedaż netto,money,gross_order_value - tax_value - return_value,derived,canonical_orders|canonical_refunds,planned_p0,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
KPI-34,cogs,Koszt sprzedanych produktów,money,SUM(sold_quantity * valid_unit_cost),sum,canonical_order_lines|product_costs,planned_p0,required,"packages/contracts metric catalog + backend Metric Engine; frontend, reports and AI consume snapshots only"
