screen_id,ekran,screen_document,document_type,runtime_surface,app_route,bff_route,service_route,read_operation_id,command_operation_ids,canonical_operation_id,capability_read,capability_write,contract_file,encje
30.01,Widok główny,07-centrum-dowodzenia/30-01-widok-glowny.md,runtime-screen,yes,/app/command-center/widok-glowny,/api/v1/command-center/widok-glowny,/v1/command-center/widok-glowny,command-center.overview.read,,command-center.overview.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterOverviewReadResponse / CommandCenterOverviewReadData; pola domenowe zgodne z contracts/api-schemas.ts
30.02,Kolejka uwagi,07-centrum-dowodzenia/30-02-kolejka-uwagi.md,runtime-screen,yes,/app/command-center/kolejka-uwagi,/api/v1/command-center/kolejka-uwagi,/v1/command-center/kolejka-uwagi,command-center.attention.queue.read,,command-center.attention.queue.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterAttentionQueueReadResponse / CommandCenterAttentionQueueReadData; pola domenowe zgodne z contracts/api-schemas.ts
30.03,KPI,07-centrum-dowodzenia/30-03-kpi.md,runtime-screen,yes,/app/command-center/kpi,/api/v1/command-center/kpi,/v1/command-center/kpi,command-center.kpi.read,,command-center.kpi.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterKpiReadResponse / CommandCenterKpiReadData; pola domenowe zgodne z contracts/api-schemas.ts
30.04,Plan vs wynik,07-centrum-dowodzenia/30-04-plan-vs-wynik.md,runtime-screen,yes,/app/command-center/plan-vs-wynik,/api/v1/command-center/plan-vs-wynik,/v1/command-center/plan-vs-wynik,command-center.plan-performance.read,,command-center.plan-performance.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterPlanPerformanceReadResponse / CommandCenterPlanPerformanceReadData; pola domenowe zgodne z contracts/api-schemas.ts
30.05,Drivery wyniku,07-centrum-dowodzenia/30-05-drivery-wyniku.md,runtime-screen,yes,/app/command-center/drivery-wyniku,/api/v1/command-center/drivery-wyniku,/v1/command-center/drivery-wyniku,command-center.drivers.read,,command-center.drivers.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterDriversReadResponse / CommandCenterDriversReadData; pola domenowe zgodne z contracts/api-schemas.ts
30.06,Źródła sprzedaży,07-centrum-dowodzenia/30-06-zrodla-sprzedazy.md,runtime-screen,yes,/app/command-center/zrodla-sprzedazy,/api/v1/command-center/zrodla-sprzedazy,/v1/command-center/zrodla-sprzedazy,command-center.sales-sources.read,,command-center.sales-sources.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterSalesSourcesReadResponse / CommandCenterSalesSourcesReadData; pola domenowe zgodne z contracts/api-schemas.ts
30.07,Ruch,07-centrum-dowodzenia/30-07-ruch.md,runtime-screen,yes,/app/command-center/ruch,/api/v1/command-center/ruch,/v1/command-center/ruch,command-center.traffic-summary.read,,command-center.traffic-summary.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterTrafficSummaryReadResponse / CommandCenterTrafficSummaryReadData; pola domenowe zgodne z contracts/api-schemas.ts
30.08,Produkty,07-centrum-dowodzenia/30-08-produkty.md,runtime-screen,yes,/app/command-center/produkty,/api/v1/command-center/produkty,/v1/command-center/produkty,command-center.products-summary.read,,command-center.products-summary.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterProductsSummaryReadResponse / CommandCenterProductsSummaryReadData; pola domenowe zgodne z contracts/api-schemas.ts
30.09,Klienci,07-centrum-dowodzenia/30-09-klienci.md,runtime-screen,yes,/app/command-center/klienci,/api/v1/command-center/klienci,/v1/command-center/klienci,command-center.customers-summary.read,,command-center.customers-summary.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterCustomersSummaryReadResponse / CommandCenterCustomersSummaryReadData; pola domenowe zgodne z contracts/api-schemas.ts
30.10,Lejek,07-centrum-dowodzenia/30-10-lejek.md,runtime-screen,yes,/app/command-center/lejek,/api/v1/command-center/lejek,/v1/command-center/lejek,command-center.funnel.read,,command-center.funnel.read,analytics.read,,25-kontrakty-domenowe-i-api/command-center.md,CommandCenterFunnelReadResponse / CommandCenterFunnelReadData; pola domenowe zgodne z contracts/api-schemas.ts
